Alkalimetals;Li-Lithium-3-6.9410-2;Na-Sodium-11-22.990-3;K-Potassium-19-39.098-4;Rb-Rubidium-37-85.468-5;Cs-Caesium-55-132.91-6;Fr-Francium-87-223-7
Alkaline_earth_metals;Be-Beryllium-4-9.0122-2;Mg-Magnesium-12-24.305-3;Ca-Calcium-20-40.078-4;Sr-Strontium-38-87.620-5;Ba-Barium-56-137.33-6;Ra-Radium-88-226-7
Transition_metals;Sc-Scandium-21-44.956-4;Ti-Titanium-22-47.867-4;V-Vanadium-23-50.942-4;Cr-chromium-24-51.996-4;Mn-Manganese-25-54.938-4;Fe-Iron-26-55.845-4
